Galaxy,M_BH,M_BH_std_sym,log_sigma0,log_sigma0_std,log_R_e_sph_eq_kpc,log_R_e_sph_eq_kpc_std,log<Sigma>_e,log<Sigma>_e_std,"GJC23log(M*,gal/M_sun)","GJC23log(M*,gal/M_sun)_std",GJC23log(sSFR),GJC23log(sSFR)_std,GJC23W2-W3,GJC23W2-W3_std
NGC 0404,5.74,0.103967493,1.538950562,0.039173136,-1.239788683,0.31,3.640768301,0.123588475,8.85,0.09,-10.36427857,0.158584674,1.28,0.05
NGC 0524,8.677183839,0.099525819,2.37417991,0.008256898,0.041392685,0.31,3.831612442,0.073712344,11.1,0.08,-12.15998184,0.097563632,0.52,0.06
NGC 1023,7.62324929,0.041361379,2.294686624,0.01017981,-0.406492411,0.09,4.214386841,0.090742633,10.61,0.08,-12.34992861,0.10895889,0.18,0.07
NGC 1194,7.820198989,0.036501092,2.17,0.07,-0.040310037,0.4,3.964553986,0.08925232,10.46,0.08,-9.868501315,0.091236437,2.83,0.04
NGC 1316,8.156998317,0.224385482,2.348421698,0.00646399,0.135895576,0.31,3.936206321,0.295181213,11.43,0.08,-11.96180041,0.092854912,0.65,0.05
NGC 1332,9.15548582,0.059902687,2.469262225,0.016671884,0.276461804,0.4,3.677544926,0.09640639,10.88,0.08,-11.69987412,0.106107514,0.42,0.05
NGC 1374,8.758880366,0.03743918,2.253749808,0.00786897,0.028709489,0.31,3.35438684,0.082295312,10.33,0.08,-14.63103,0.441601287,0.12,0.07
NGC 2549,7.142582755,0.232657758,2.149557792,0.008217463,-0.734851861,0.09,4.24919351,0.131225015,9.97,0.08,-11.97,0.149205374,0.33,0.06
NGC 2778,7.136668167,0.434294482,2.187605315,0.008994348,-0.632271454,0.31,3.850602175,0.138160513,9.89,0.08,-11.70247928,0.16704707,0.12,0.05
NGC 2787,7.596069628,0.04885813,2.283120235,0.008893171,-0.861160688,0.31,4.16095775,0.158747026,9.8,0.08,-11.89151498,0.138121699,0.59,0.04
NGC 3115,8.939837767,0.31338295,2.415357362,0.005006661,0.189770956,0.09,3.581115536,0.075096159,10.63,0.08,-12.59657624,0.128477656,0.14,0.12
NGC 3245,8.296730015,0.108573621,2.316033282,0.015271525,-0.633017024,0.09,4.497767473,0.104809656,10.45,0.08,-11.22185639,0.090291164,1.09,0.04
NGC 3384,7.022424846,0.197406584,2.158694118,0.007443671,-0.519418213,0.09,4.286011744,0.084798708,10.37,0.08,-11.84625353,0.106443341,0.24,0.05
NGC 3489,6.759700121,0.059902687,2.017784353,0.008170639,-1.021363052,0.31,4.744499535,0.088499125,10.14,0.08,-11.23963287,0.08988124,1.16,0.04
NGC 3665,8.759667845,0.100831849,2.332680789,0.017140016,0.326638942,0.31,3.569058972,0.088616065,11.13,0.08,-11.2726675,0.090713427,1.33,0.04
NGC 3998,8.418774637,0.176934789,2.423393345,0.018086729,-0.505845406,0.4,4.201210714,0.100585704,10.3,0.08,-11.18472241,0.090493334,1.39,0.05
NGC 4026,8.255272505,0.10857362,2.239274447,0.009637638,-0.829591588,0.4,4.968827046,0.129449825,10.18,0.08,-13.22575749,0.39424171,0.52,0.05
NGC 4339,7.62800556,0.119515148,2.045166448,0.012172457,-0.31165138,0.31,3.482142884,0.09670149,10.02,0.08,-11.15786862,0.124541462,0.67,0.14
NGC 4342,8.649419525,0.183368781,2.381295623,0.010360974,-0.287434472,0.31,3.683970994,0.071920782,10.1,0.08,-14.40103,0.441601287,0.31,0.04
NGC 4350,8.8684625,0.142781747,2.256621546,0.010679373,0.202733458,0.31,3.075102752,0.069974273,10.35,0.08,-12.05333481,0.100855585,0.51,0.06
NGC 4371,6.832055183,0.07445048,2.109713505,0.007387796,-0.152982902,0.31,3.366570748,0.191494554,10.38,0.08,-12.02397414,0.112040026,0.64,0.09
NGC 4429,8.178715403,0.026264348,2.239149265,0.013496582,-0.04639299,0.31,3.755903539,0.077433833,10.75,0.08,-11.58983171,0.091229469,0.86,0.05
NGC 4434,7.843154885,0.049633655,2.065542371,0.010419482,-0.245521701,0.31,3.592328801,0.070619758,10.03,0.08,-14.33103,0.441601287,0.0,0.06
NGC 4459,7.826940958,0.083026886,2.235124264,0.012004765,-0.010995384,0.31,3.688338616,0.110827892,10.56,0.08,-11.11972079,0.092843944,1.17,0.1
NGC 4526,8.656398758,0.012936431,2.35148709,0.018153602,0.064697534,0.31,3.73000147,0.103115507,10.84,0.08,-11.38181556,0.090584557,1.14,0.05
NGC 4564,7.901041424,0.120124006,2.1935698,0.00611839,-0.382999659,0.09,3.958408337,0.09298472,10.12,0.08,-12.5402164,0.130307402,0.31,0.05
NGC 4578,7.276081011,0.076192013,2.048907701,0.015793232,-0.307188319,0.31,3.577977658,0.070444646,10.05,0.08,-14.35103,0.441601287,-0.24,0.1
NGC 4596,7.897234242,0.197659668,2.147892645,0.006796954,-0.131943638,0.09,3.636651672,0.069974273,10.54,0.08,-11.84103,0.094080804,0.34,0.08
NGC 4742,7.132996732,0.149989885,2.005823753,0.014397923,-0.609913125,0.31,4.280495826,0.09140926,9.99,0.08,-11.79134291,0.145007424,0.4,0.05
NGC 4762,7.238068318,0.047205922,2.149926959,0.012577104,-0.735938129,0.31,4.383137184,0.069974273,10.56,0.08,-14.86103,0.441601287,0.18,0.07
NGC 5018,7.997340366,0.078,2.32621293,0.009180142,0.054842779,0.31,4.00230768,0.089295202,11.1,0.08,-11.40381841,0.091754991,0.89,0.07
NGC 5128,7.648616762,0.130288344,2.014478535,0.02583336,0.039176084,0.4,3.751373554,0.066160219,10.86,0.08,-10.60789975,0.090706552,2.53,0.03
NGC 5252,9.031157982,0.350000095,2.271027994,0.061706347,-0.151441428,0.31,4.367480666,0.089223833,11.05,0.08,-10.29806687,0.09273064,2.27,0.04
NGC 5813,8.828326269,0.044706785,2.372930405,0.006201315,0.321324969,0.31,3.442432295,0.097728183,11.1,0.08,-12.49469495,0.11761191,0.03,0.12
NGC 5845,8.411512816,0.158684522,2.36272745,0.014939293,-0.197363082,0.31,3.698809296,0.105814672,10.14,0.08,-11.74730305,0.106519774,0.53,0.04
NGC 6861,9.296231113,0.217147241,2.587980211,0.01847131,0.414433485,0.31,3.290201914,0.144229907,10.84,0.08,-11.81346674,0.092161891,0.76,0.05
NGC 7332,7.060917788,0.202165764,2.107142106,0.011334143,-0.589087861,0.4,4.488949313,0.101818577,10.48,0.08,-11.78364361,0.107982954,0.46,0.05
NGC 7457,6.957675685,0.260576686,1.83231727,0.022235469,-0.401089176,0.31,3.316974426,0.104783002,9.92,0.08,-11.74390874,0.140756482,0.27,0.11
