M_BH,M_BH_std_sym,log_sigma0,log_sigma0_std,log_R_e_sph_eq_kpc,log_R_e_sph_eq_kpc_std,log<Sigma>_e,log<Sigma>_e_std,"GJC23log(M*,gal/M_sun)","GJC23log(M*,gal/M_sun)_std",GJC23log(sSFR),GJC23log(sSFR)_std,GJC23W2-W3,GJC23W2-W3_std
6.21851675,0.080936686,2.171433901,0.051711479,-0.337242168,0.028323553,3.863614027,0.171321129,10.04,0.09,-9.37261243,0.127637271,4.02,0.03
6.512288563,0.088832968,2.135100834,0.011041115,-0.210814281,0.028226601,3.289611717,0.148962681,10.43,0.08,-10.0082316,0.091083086,3.38,0.04
8.151957579,0.186126206,2.187097501,0.010162237,-0.161150909,0.003942639,3.667424087,0.077277636,10.71,0.08,-10.94128792,0.090362558,2.08,0.04
6.99626143,0.301029996,1.981320173,0.079704531,-0.329242204,0.009268864,3.611265556,0.074316,10.43,0.08,-9.852083305,0.091156008,3.81,0.04
8.379211714,0.091512052,2.290034611,0.011135756,0.130333768,0.073990912,3.754422313,0.072154811,11.22,0.08,-10.03992002,0.100897809,3.41,0.04
7.86332286,0.309360453,2.337479228,0.058063002,-0.131355562,0.099905361,3.185184521,0.093414755,10.56,0.08,-10.40508935,0.090788431,2.91,0.04
6.772184402,0.1618734,2.039810554,0.0411708,-0.698970004,0.065144172,4.237767882,0.092361856,10.13,0.09,-9.683043652,0.099959578,3.34,0.04
8.033,0.083,2.292566171,0.040209992,0.09320168,0.035041495,3.580223194,0.172059998,11.17,0.08,-10.87983178,0.091288547,2.14,0.04
6.946570769,0.061834642,2.149342299,0.025003341,-0.552841969,0.031021034,3.773058698,0.147263165,10.43,0.08,-10.02181093,0.091006264,3.14,0.04
7.069243652,0.035651179,2.220108088,0.041859709,-0.125529779,0.046387832,3.890019354,0.091907849,10.72,0.08,-10.41712816,0.091167741,2.98,0.04
8.230448921,0.051093468,2.365806101,0.007370118,-0.172249594,0.006457046,3.7646954,0.122333392,10.61,0.08,-11.27554625,0.093426653,1.36,0.08
7.831027367,0.09390151,2.180584597,0.006619294,-0.138846884,0.005979036,3.646396821,0.07627283,10.57,0.08,-10.99899033,0.090131297,1.8,0.03
6.28172484,0.301029996,2.243013231,0.03070017,-0.463883652,0.050550791,4.0351153,0.167541418,10.41,0.08,-9.844636312,0.091068162,3.64,0.04
7.248565121,0.248168275,2.103187749,0.019999052,0.011071162,0.025401795,3.379772222,0.12830195,10.65,0.08,-10.11229421,0.091262814,3.09,0.04
6.892425242,0.089238592,2.074962643,0.013229098,-0.602562326,0.017391884,4.215410267,0.138989531,10.55,0.08,-10.80562877,0.090506994,2.13,0.04
6.943867278,0.048,2.102124856,0.020254031,-0.707743929,0.066473645,4.33213766,0.165422611,10.63,0.08,-10.06245608,0.09107077,3.44,0.04
7.290949879,0.367479946,1.963079161,0.046621052,-0.248720896,0.02310077,3.967065493,0.133515804,10.53,0.08,-9.88977703,0.091211864,2.82,0.04
7.614545703,0.011135756,2.123067244,0.024174723,-0.008773924,0.062042069,3.269676245,0.071709154,10.56,0.08,-10.58969962,0.090677671,2.44,0.04
6.777701437,0.135934173,1.978043494,0.037367507,-0.6970633,0.021619598,4.645944551,0.074120628,10.71,0.09,-9.864102354,0.103450592,3.87,0.04
6.94910287,0.087472227,1.997779431,0.042124251,0.09485529,0.017454163,3.073682011,0.186929371,10.12,0.08,-9.851820002,0.090957806,3.15,0.04
7.313964977,0.08,2.220631019,0.018657416,0.222378266,0.039038876,3.218513968,0.073602675,10.89,0.08,-10.34868291,0.09113018,3.05,0.04
8.80845974,0.027143405,2.353473829,0.006389231,0.278753601,0.020571844,3.480317798,0.07978859,11.06,0.08,-11.54545225,0.090901682,0.9,0.05
8.279168363,0.052,2.283934113,0.020982919,-0.638272164,0.056647106,3.245398745,0.175905254,11.06,0.08,-10.85756618,0.090888074,2.2,0.04
6.833668578,0.10133538,2.030761591,0.014484575,-0.635261445,0.005850599,4.462653911,0.097944768,10.38,0.08,-10.46286225,0.090425735,2.71,0.04
6.198129619,0.108573607,1.987442805,0.024855145,-0.379291512,0.010401017,3.729386914,0.109068191,10.54,0.08,-10.68194428,0.090369913,2.21,0.04
6.117794437,0.301029996,2.069889997,0.064815105,-0.795880017,0.135717026,3.780379827,0.07430624,10.23,0.08,-9.909625198,0.090760932,3.56,0.03
7.744292983,0.177665925,2.073315021,0.018965305,-0.316682738,0.108055853,4.076509592,0.171048986,10.59,0.08,-9.637958659,0.093947998,3.29,0.04
7.073984272,0.044927015,2.029383778,0.048705923,-0.236572006,0.014975672,3.592874321,0.128353626,10.51,0.08,-10.19375699,0.091045122,3.22,0.04
